Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location
SEVEN SEAS CHINESE RESTAURANT,1776 E. JEFFERSON STREET,ROCKVILLE,MD,20852,BBWLHR069,On Premise,"GOURMET,INC.","1776 E. JEFFERSON STREET
ROCKVILLE, MD 20852
(39.057447, -77.126308)"
H RESTAURANT AND NIGHT CLUB,11300 GEORGIA AVENUE,WHEATON,MD,20902,BBWLHR24274,On Premise,"H RESTAURANT AND NIGHT CLUB, LLC","11300 GEORGIA AVENUE
WHEATON, MD 20902
(39.040765, -77.051603)"
"LUMPIA, PANSIT ATBP",11160 VEIRS MILL ROAD #164,WHEATON,MD,20902,BBWLHR20031,On Premise,"ORTEGA ENTERPRISES, INC","11160 VEIRS MILL ROAD #164
WHEATON, MD 20902
(39.038177, -77.052681)"
NAPLES RISTORANTE,"7101 DEMOCRACY BLVD., #2350",BETHESDA,MD,20817,BBWLHR20459,On Premise,"NAPLES OF MONTGOMERY, LLC","7101 DEMOCRACY BLVD., #2350
BETHESDA, MD 20817
(39.0242, -77.1459)"
CHEVY CHASE SUPERMARKET,8531 CONNECTICUT AVE,CHEVY CHASE,MD,20815,ABW006,Off Premise,"CHEVY CHASE SUPERMARKET, INC.","8531 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.995322, -77.07706)"
"BARONESSA ITAL.REST.,BAR, PIZZERIA",1302 E. GUDE DRIVE,ROCKVILLE,MD,20850,BBWLHR382,On Premise,ANTONIA INCORPORATED,"1302 E. GUDE DRIVE
ROCKVILLE, MD 20850
(39.09712, -77.135605)"
THAI AT SILVER SPRING,"921 ELLSWORTH DRIVE, UNIT E",SILVER SPRING,MD,20910,BBWLHR056,On Premise,"JJNPP, INC.,","921 ELLSWORTH DRIVE, UNIT E
SILVER SPRING, MD 20910
(38.995603, -77.026805)"
FLANAGAN'S HARP & FIDDLE RESTAURANT,4844 CORDELL AVE,BETHESDA,MD,20814,BBWLHR365,On Premise,"CELTIC CONNECTIONS, LLC","4844 CORDELL AVE
BETHESDA, MD 20814
(38.990253, -77.097281)"
PEPINO'S,15721 COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBW187,On Premise,PEPINO'S KITCHEN,"15721 COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.113079, -76.932681)"
RIDGEWELLS,5520 CLIPPER LANE,BETHESDA,MD,20816,CATBWL19232,On Premise,RIDGEWELLS,"5520 CLIPPER LANE
BETHESDA, MD 20816
(38.964332, -77.101793)"
KNIGHTS OF COLUMBUS #2797,5417 WEST CEDAR LANE,BETHESDA,MD,20814,CBWLFV010,On Premise,ROCK CREEK COUNCIL #2797,"5417 WEST CEDAR LANE
BETHESDA, MD 20814
(39.004525, -77.109348)"
AZUL BAR & GRILL,18749 NORTH FREDERICK ROAD,GAITHERSBURG,MD,20879,BBWLHR767,On Premise,SCUMV GROUP INC.,"18749 NORTH FREDERICK ROAD
GAITHERSBURG, MD 20879
(39.16348, -77.226137)"
MANNEQUIN PIS,18064 GEORGIA AVE,OLNEY,MD,20832,HBW038,On Premise,"GOMES D'CRUZE, INC.,","18064 GEORGIA AVE
OLNEY, MD 20832
(39.152206, -77.066884)"
BLACK'S BAR & KITCHEN,7750 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR301,On Premise,"I.T.B., EIGHT,LLC","7750 WOODMONT AVE
BETHESDA, MD 20814
(38.987794, -77.095973)"
CAFE PROMENADE,5225 POOKS HILL ROAD,BETHESDA,MD,20814,BBWLHR546,On Premise,"EL MOZOTE, LLC","5225 POOKS HILL ROAD
BETHESDA, MD 20814
(39.015149, -77.10793)"
TIJUANA MEXICAN CAFE - ROCKVILLE,2007 VEIRS MILL ROAD,ROCKVILLE,MD,20851,BBWLHR255,On Premise,MARIO CORPORATION,"2007 VEIRS MILL ROAD
ROCKVILLE, MD 20851
(39.075203, -77.116493)"
NORBECK COUNTRY CLUB,17200 CASHELL ROAD,ROCKVILLE,MD,20853,CBWLCC016,On Premise,NORBECK COUNTRY CLUB INC.,"17200 CASHELL ROAD
ROCKVILLE, MD 20853
(39.140725, -77.091665)"
JOSE'S GRILL,11423 GEORGIA AVENUE,WHEATON,MD,20902,BBWLHR26447,On Premise,CARDENAS INC,"11423 GEORGIA AVENUE
WHEATON, MD 20902
(39.042002, -77.051826)"
N-VERIDIAN MARKET AND WINE,8010 BLAIR MILL WAY,SILVER SPRING,MD,20910,ABW26668,Off Premise,"MCH VERIDIAN, INC","8010 BLAIR MILL WAY
SILVER SPRING, MD 20910
(38.989029, -77.027752)"
CHAPEL BEER & WINE,19737 FREDERICK RD,GERMANTOWN,MD,20876,ABW25734,Off Premise,"ROSARY BEER & WINE, INC","19737 FREDERICK RD
GERMANTOWN, MD 20876
(39.179119, -77.238399)"
UMBERTO'S-OLNEY,5500 OLNEY LAYTONSVILLE ROAD,OLNEY,MD,20832,BDBWLHR26637,On/Off-Premise,"ITALIAN RESTAURANT CARRYOUT, INC","5500 OLNEY LAYTONSVILLE ROAD
OLNEY, MD 20832
(39.182987, -77.110225)"
LA FRONTERA II,4217 RANDOLPH ROAD,SILVER SPRING,MD,20906,BBWLHR394,On Premise,"LA FRONTERA II, INC.,","4217 RANDOLPH ROAD
SILVER SPRING, MD 20906
(39.056673, -77.081909)"
THE CLASSICS RESTAURANT,8606 COLESVILLE ROAD,SILVER SPRING,MD,20910,BBWLHR791,On Premise,"ARS SILVER SPRING, LLC","8606 COLESVILLE ROAD
SILVER SPRING, MD 20910
(38.996457, -77.027808)"
LEBANESE TAVERNA CAFE - ROCKVILLE,1605 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR042,On Premise,LEBANESE TAVERNA CAFE CONGRESS,"1605 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.064169, -77.126054)"
BANGKOK GARDEN RESTAURANT,4906 ST. ELMO AVE,BETHESDA,MD,20814,BBWLHR012,On Premise,"THAI GARDEN, INC.","4906 ST. ELMO AVE
BETHESDA, MD 20814
(38.988727, -77.097515)"
OLD ANGLERS INN,10801 MACARTHUR BLVD.,POTOMAC,MD,20854,BBWLHR060,On Premise,"MARYLAND CATERING CO., INC.","10801 MACARTHUR BLVD.
POTOMAC, MD 20854
(38.982416, -77.226666)"
AY! JALISCO II,425 S. FREDERICK AVE,GAITHERSBURG,MD,20878,BBWLHR169,On Premise,"ABI III, CORP.","425 S. FREDERICK AVE
GAITHERSBURG, MD 20878
(39.135455, -77.191793)"
WHITE OAK BOWLING LANES,11207 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,HB008,On Premise,"WHITE OAK BOWLING LANES, INC.","11207 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.040263, -76.990767)"
BOYDS COUNTRY STORE,"15110 BARNESVILLE RD., PO 117",BOYDS,MD,20841,ABW012,Off Premise,"BOYDS COUNTRY STORE, INC.","15110 BARNESVILLE RD., PO 117
BOYDS, MD 20841
(39.18479, -77.314224)"
MARK'S KITCHEN,7006 CARROLL AVE,TAKOMA PARK,MD,20912,HBW243,On Premise,"MARK'S KITCHEN, LLC","7006 CARROLL AVE
TAKOMA PARK, MD 20912
(38.97481, -77.011983)"
MULU ETHIOPIAN RESTAURANT & CARRY OUT,7833 EASTERN AVE,SILVER SPRING,MD,20910,BBWHR22694,On Premise,MULU MESOB INC,"7833 EASTERN AVE
SILVER SPRING, MD 20910
(38.985724, -77.028097)"
SUMMIT HILLS MINI MART,8518 16TH STREET,SILVER SPRING,MD,20910,ABW245,Off Premise,AMAZING AIM INC.,"8518 16TH STREET
SILVER SPRING, MD 20910
(38.998333, -77.039521)"
HOWARD DELI,"4222 HOWARD AVE, UNIT D",KENSINGTON,MD,20895,ABW154,Off Premise,RHEE & RHEE INC,"4222 HOWARD AVE, UNIT D
KENSINGTON, MD 20895
(39.031002, -77.083165)"
PALADAR LATIN KITCHEN & RUM BAR -R,"11333 WOODGLEN DR., SUITE 101",ROCKVILLE,MD,20852,BBWLHR795,On Premise,"PALADAR ROCKVILLE, LLC","11333 WOODGLEN DR., SUITE 101
ROCKVILLE, MD 20852
(39.042845, -77.113365)"
RED HOT & BLUE,16811 CRABBS BRANCH WAY,DERWOOD,MD,20855,BBWLHR451,On Premise,"RED, HOT, & BLUE GAITHERSBURG,","16811 CRABBS BRANCH WAY
DERWOOD, MD 20855
(39.130149, -77.168139)"
MARKHAM'S BAR & GRILL,7141 WISCONSIN AVENUE,BETHESDA,MD,20814,BBWLHR832,On Premise,"OREGON AVENUE, LLC.","7141 WISCONSIN AVENUE
BETHESDA, MD 20814
(38.980901, -77.092478)"
LA POSADA RESTAURANT,8545 PINEY BRANCH ROAD,SILVER SPRING,MD,20901,BBWLHR621,On Premise,"RHH ENTERPRISES, INC.","8545 PINEY BRANCH ROAD
SILVER SPRING, MD 20901
(38.998399, -77.001362)"
SAKURA JAPANESE SEAFOOD HOUSE,18147 VILLAGE MART DRIVE,OLNEY,MD,20832,BBWLHR364,On Premise,"OLNEY SAKURA, INC.","18147 VILLAGE MART DRIVE
OLNEY, MD 20832
(39.152137, -77.063416)"
BEKA CONVENIENCE STORE,615 S. FREDERICK AVENUE,GAITHERSBURG,MD,20877,ABW26431,Off Premise,BEKA MERA INC,"615 S. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.128825, -77.185865)"
HEN QUARTER,919 ELLSWORTH DRIVE,SILVER SPRING,MD,20910,BBWLHR354,On Premise,HEN QUARTER LLC,"919 ELLSWORTH DRIVE
SILVER SPRING, MD 20910
(38.995994, -77.026346)"
RESTAURANT POLLOS EL MESON,615 SOUTH FREDERICK AVE,GAITHERSBURG,MD,20877,BBWLHR22816,On Premise,"RESTAURANT POLLOS EL MESON, LLC","615 SOUTH FREDERICK AVE
GAITHERSBURG, MD 20877
(39.128825, -77.185865)"
GOURMET ASIAN BISTRO,7224 MUNCASTER MILL ROAD,DERWOOD,MD,20855,HBW348,On/Off-Premise,"R AND S GROUP, LLC","7224 MUNCASTER MILL ROAD
DERWOOD, MD 20855
(39.146245, -77.145276)"
BETHESDA BLUES & JAZZ,7719 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR765,On Premise,"BETHESDA BLUES & JAZZ, LLC","7719 WISCONSIN AVE
BETHESDA, MD 20814
(38.9871, -77.094717)"
CALIFORNIA PIZZA KITCHEN - BETHESDA,7101 DEMOCRACY BLVD,BETHESDA,MD,20817,BBWLHR676,On Premise,"CALIFORNIA PIZZA KITCHEN, INC.","7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)"
EVEN HOTEL ROCKVILLE,1775 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHM221,On Premise,"SES MD BEVERAGE COMPANY, LLC","1775 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.060331, -77.1228)"
KANTUTAS RESTAURANT,2462 ENNALLS AVE,SILVER SPRING,MD,20902,BBWLHR673,On Premise,"KANTUTAS RESTAURANT, LLC","2462 ENNALLS AVE
SILVER SPRING, MD 20902
(39.040337, -77.052474)"
VICINO RISTORANTE ITALIANO,959 SLIGO AVE,SILVER SPRING,MD,20910,HBW032,On Premise,"VICINO RISTORANTE ITALIANO, IN","959 SLIGO AVE
SILVER SPRING, MD 20910
(38.990235, -77.02571)"
CHOICE WINE & BEER,"11160 VEIRS MILL ROAD, #207",SILVER SPRING,MD,20902,ABWS264,Off Premise,CHOICE WINE & BEER LLC,"11160 VEIRS MILL ROAD, #207
SILVER SPRING, MD 20902
(39.038177, -77.052681)"
THE DAILY DISH,"8301 GRUBB ROAD, UNIT A",SILVER SPRING,MD,20910,BBWLHR580,On Premise,"WJ HOLLINGER, LLC","8301 GRUBB ROAD, UNIT A
SILVER SPRING, MD 20910
(38.992263, -77.049414)"
JUANITA'S RESTAURANT,15883 REDLAND ROAD,DERWOOD,MD,20855,HBW155,On Premise,JUANA GONZALEZ,"15883 REDLAND ROAD
DERWOOD, MD 20855
(39.117921, -77.163814)"
COME TO AFRICA RESTAURANT,6834 NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,BBWLHR573,On Premise,"COME TO AFRICA, LLC","6834 NEW HAMPSHIRE AVE
TAKOMA PARK, MD 20912
(38.973642, -76.996151)"
CHINA GOURMET RESTAURANT,"3739 UNIVERSITY BLVD, WEST",KENSINGTON,MD,20895,BBWLHR247,On Premise,"KENSINGTON RESTAURANT, INC.","3739 UNIVERSITY BLVD, WEST
KENSINGTON, MD 20895
(39.032273, -77.074317)"
TOURNAMENT PLAYERS CLUB AT AVENEL,10000 OAKLYN DRIVE,POTOMAC,MD,20854,CBWLCC018,On Premise,"TOURNAMENT PLAYERS AT AVENEL,","10000 OAKLYN DRIVE
POTOMAC, MD 20854
(38.992687, -77.195244)"
NOT YOUR AVERAGE JOE'S,"10400 OLD GEORGETOWN ROAD, 6A",BETHESDA,MD,20814,BBWLHR21761,On Premise,"NOT YOUR AVERAGE JOE'S MD, LLC","10400 OLD GEORGETOWN ROAD, 6A
BETHESDA, MD 20814
(39.025877, -77.126067)"
MANOLI CANOLI,8540 CONNECTICUT AVE,CHEVY CHASE,MD,20815,BBWLHR376,On Premise,"MANOLI CANOLI, LLC","8540 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.995634, -77.077239)"
TROPICANA'S RESTAURANT,8638 FLOWER AVE,TAKOMA PARK,MD,20912,BBWLHR601,On Premise,EUGENIO HERNANDEZ & MIGUEL RUI,"8638 FLOWER AVE
TAKOMA PARK, MD 20912
(38.997216, -77.003321)"
DUCK DUCK GOOSE,7929 NORFOLK AVENUE,BETHESDA,MD,20814,BBWLHR24264,On Premise,"ALFRED RESTAURANT GROUP,LLC","7929 NORFOLK AVENUE
BETHESDA, MD 20814
(38.989312, -77.097941)"
CRAVE,7101 DEMOCRACY BOULEVARD,BETHESDA,MD,20817,BBWLHR872,On Premise,"CRAVE RESTAURANT BETHESDA, LLC","7101 DEMOCRACY BOULEVARD
BETHESDA, MD 20817
(39.0242, -77.1459)"
TURNTABLE,4862 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR841,On Premise,"TURNTABLE, LLC","4862 CORDELL AVENUE
BETHESDA, MD 20814
(38.989768, -77.09776)"
DOCK OF THE BAY,429 S. FREDERICK ROAD,GAITHERSBURG,MD,20877,ABW278,Off Premise,"KIM CHHENG, LLC","429 S. FREDERICK ROAD
GAITHERSBURG, MD 20877
(39.13537, -77.191716)"
CHOICE BEER & WINE,802 ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABW236,Off Premise,"KELVIN AND KRIS, INC.","802 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.077596, -77.140063)"
AMC THEATRES WHEATON 9,11190 VEIRS MILL ROAD,WHEATON,MD,20902,BBWLHR21332,On Premise,"AMC OF MARYLAND, LLC","11190 VEIRS MILL ROAD
WHEATON, MD 20902
(39.039395, -77.054369)"
EAST GRILL KARAOKE,12 N. WASHINGTON ST,ROCKVILLE,MD,20850,BBWLHR26237,On Premise,"EAST GRILL KARAOKE, LLC","12 N. WASHINGTON ST
ROCKVILLE, MD 20850
(39.084382, -77.152911)"
N-CADDIES ON CORDELL,4922 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR27463,On Premise,HOLE IN ONE OF MD LLC,"4922 CORDELL AVENUE
BETHESDA, MD 20814
(38.988809, -77.098665)"
"HALPINE BEER, WINE & DELI",1701-B8 ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABW24778,Off Premise,JAI LAXMI MATA CORPORATION,"1701-B8 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.061153, -77.123527)"
3 STAR CONVENIENCE STORE,18524 WOODFIELD ROAD,GAITHERSBURG,MD,20879,ABW194,Off Premise,"CPSS, INC.","18524 WOODFIELD ROAD
GAITHERSBURG, MD 20879
(39.161062, -77.158953)"
NEW SILVER FOUNTAIN RESTAURANT,13533 CONNECTICUT AVE,SILVER SPRING,MD,20906,BBWLHR771,On Premise,"NEW SILVER FOUNTAIN, INC","13533 CONNECTICUT AVE
SILVER SPRING, MD 20906
(39.076917, -77.080695)"
YIRASAI SUSHI & CAFE,5110 RIDGEFIELD ROAD,BETHESDA,MD,20816,HBW093,On Premise,YIRASHI SUSHI & CAFE INC,"5110 RIDGEFIELD ROAD
BETHESDA, MD 20816
(38.96613, -77.106446)"
BIG WANG'S CUISINE,16051 FREDERICK ROAD,DERWOOD,MD,20855,HBW314,On Premise,"LIBERTY HEAD, LLC","16051 FREDERICK ROAD
DERWOOD, MD 20855
(39.11883, -77.171396)"
PRITI BEER & WINE CONV MART,18065 GEORGIA AVE,OLNEY,MD,20832,ABW260,Off Premise,"ROCCI, INC","18065 GEORGIA AVE
OLNEY, MD 20832
(39.152143, -77.066752)"
FIRE STATION 1 RESTAURANT & BREWING,8131 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR834,On Premise,"L&G SILVER SPRING ENTERPRISES,","8131 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.99147, -77.026546)"
RED BOWL,12051 C-4 CHESTNUT BRANCH WAY,CLARKSBURG,MD,20871,BBWLHR20257,On Premise,"RED BOWL OF CLARKSBURG, INC","12051 C-4 CHESTNUT BRANCH WAY
CLARKSBURG, MD 20871
(39.231073, -77.251252)"
MONTGOMERY VILLAGE BEER & WINE,18286 CONTOUR ROAD,GAITHERSBURG,MD,20879,ABW18682,Off Premise,"ANH & OH CORPORATION, INC","18286 CONTOUR ROAD
GAITHERSBURG, MD 20879
(39.155727, -77.198342)"
SHADY GROVE BEER & WINE,15904 SHADY GROVE ROAD,GAITHERSBURG,MD,20877,ABW102,Off Premise,KWON ENTERPRISES INC,"15904 SHADY GROVE ROAD
GAITHERSBURG, MD 20877
(39.117535, -77.183645)"
A.G. KITCHEN,931 ELLSWORTH DRIVE,SILVER SPRING,MD,20910,BBWLHR21371,On Premise,"TRG SILVER SPRING, LLC","931 ELLSWORTH DRIVE
SILVER SPRING, MD 20910
(38.995593, -77.026816)"
QUENCH,9712 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR860,On Premise,"QUENCH ENTERPRISES, INC","9712 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.091502, -77.204217)"
PROMENADE MARKET & DELI,5225 POOKS HILL ROAD,BETHESDA,MD,20814,ABW222,Off Premise,"JAE & KIM, LLC","5225 POOKS HILL ROAD
BETHESDA, MD 20814
(39.015149, -77.10793)"
SQUISITO,15654 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBW297,On Premise,"PUNCEATYME, INC","15654 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.112555, -76.932809)"
DOUBLETREE HOTEL,8120 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHM212,On Premise,"TAR HEEL LESSEE,LLC,","8120 WISCONSIN AVE
BETHESDA, MD 20814
(38.991472, -77.095802)"
THE BEER & WINE CELLAR,146 CONGRESSIONAL LANE,ROCKVILLE,MD,20852,ABWS22927,Off Premise,"GOMES CELLARS, INC.","146 CONGRESSIONAL LANE
ROCKVILLE, MD 20852
(39.062283, -77.129005)"
RIVERSIDE LOUNGE,11272 GEORGIA AVE,SILVER SPRING,MD,20902,BBWLHR764,On Premise,"THE CUBANAKAN LOUNGE, INC.","11272 GEORGIA AVE
SILVER SPRING, MD 20902
(39.040444, -77.051505)"
THE GREENE TURTLE BAR & GRILLE,18101 TOWN CENTER DRIVE,OLNEY,MD,20832,BBWLHR803,On Premise,"GT OLNEY, LLC","18101 TOWN CENTER DRIVE
OLNEY, MD 20832
(39.151866, -77.062177)"
BENIHANA OF TOKYO,7935 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR040,On Premise,BENIHANA BETHESDA CORPORATION,"7935 WISCONSIN AVE
BETHESDA, MD 20814
(38.990335, -77.095422)"
JOE'S CRAB SHACK,221 RIO BLVD,GAITHERSBURG,MD,20878,BBWLHR045,On Premise,CRAB ADDISION INC.,"221 RIO BLVD
GAITHERSBURG, MD 20878
(39.117785, -77.200573)"
GEPETTO OF MARYLAND,10257 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR850,On Premise,"GEPETTO OF MARYLAND, INC.","10257 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.024006, -77.124599)"
OWENS ORDINARY,11820 TRADE STREET,NORTH BETHESDA,MD,20852,BBWLHR24646,On Premise,"NEIGHBORHOOD REST. GROUP XX, LLC","11820 TRADE STREET
NORTH BETHESDA, MD 20852
"
PHOTO PRESS ART,914 EAST WEST HIGHWAY,TAKOMA PARK,MD,20912,DBW21340,On/Off-Premise,PHOTOPRESS ART LLC,"914 EAST WEST HIGHWAY
TAKOMA PARK, MD 20912
(38.975449, -76.992684)"
NEW YORK MART,15108 FREDERICK ROAD,ROCKVILLE,MD,20850,ABW23008,Off Premise,NEW YORK MART MD. INC,"15108 FREDERICK ROAD
ROCKVILLE, MD 20850
(39.105051, -77.157338)"
ZENE'S DELI & WORLDMARKET,8113 FENTON ST,SILVER SPRING,MD,20910,BDBWLHR24574,On/Off-Premise,"SOLIYANA, LLC","8113 FENTON ST
SILVER SPRING, MD 20910
(38.99109, -77.024006)"
EV & MADDY'S,"101 Gibbs Street, Unit C",Rockville,MD,20850,BBWLHR19605,On Premise,"EV & MADDY'S, LLC","101 Gibbs Street, Unit C
Rockville, MD 20850
(39.086751, -77.151984)"
EL POLLO REAL RESTAURANT,5058-C NICHOLSON LANE,ROCKVILLE,MD,20852,HBW21336,On Premise,"TRUJILLO-LIMA FOODS, LLC","5058-C NICHOLSON LANE
ROCKVILLE, MD 20852
(39.045936, -77.104216)"
ROSCOE'S NEAPOLITAN PIZZERIA,7040 CARROLL AVE,TAKOMA PARK,MD,20912,BBWLHR543,On Premise,"MU & CD, LLC","7040 CARROLL AVE
TAKOMA PARK, MD 20912
(38.975032, -77.011316)"
PACIFICA CAFE,621 CENTER POINT WAY,GAITHERSBURG,MD,20878,HBW070,On Premise,"TASTE OF HONG KONG,INC.","621 CENTER POINT WAY
GAITHERSBURG, MD 20878
(39.121921, -77.234581)"
BOWL AMERICA GAITHERSBURG,1101 CLOPPER ROAD,GAITHERSBURG,MD,20878,BBWLHR309,On Premise,"BOWL AMERICA, INC.","1101 CLOPPER ROAD
GAITHERSBURG, MD 20878
(39.146818, -77.229742)"
BRIGHTON BEER & WINE,225 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878,ABW23906,Off Premise,"NDA GROUP, INC","225 MUDDY BRANCH ROAD
GAITHERSBURG, MD 20878
(39.130342, -77.207302)"
ICHIBAN RESTAURANT,637 NORTH FREDERICK AVE.,GAITHERSBURG,MD,20879,BBWLHR168,On Premise,"YOUNG & CHANG, INC.","637 NORTH FREDERICK AVE.
GAITHERSBURG, MD 20879
(39.154425, -77.214259)"
NICK'S CHOPHOUSE,700 KING FARM BLVD,ROCKVILLE,MD,20850,BBWLHR319,On Premise,NICKY'S CHOPHOUSE LLC,"700 KING FARM BLVD
ROCKVILLE, MD 20850
(39.1118, -77.17774)"
AMERICAN LEGION POST #171,"10201 LEWIS DRIVE, P.O. BOX 171",DAMASCUS,MD,20872,CBWLC20177,On Premise,DEPT. MD DAMASCUS AMER. LG. # 171,"10201 LEWIS DRIVE, P.O. BOX 171
DAMASCUS, MD 20872
(39.2913, -77.21135)"
YIKU SUSHI,818 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878,BBWHR23411,On/Off-Premise,"JWL, LLC","818 MUDDY BRANCH ROAD
GAITHERSBURG, MD 20878
(39.113526, -77.216144)"
RICCIUTI'S BRICK OVEN PIZZA,3308 OLNEY SANDY SPRING ROAD,OLNEY,MD,20832,BBWLHR037,On Premise,CAJ LLC,"3308 OLNEY SANDY SPRING ROAD
OLNEY, MD 20832
(39.152324, -77.065277)"
AFRICAN PALACE,117 N. FREDERICK AVENUE,GAITHERSBURG,MD,20877,DBWL21494,On Premise,"AFRICAN PALACE, LLC","117 N. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.143274, -77.200769)"
TAIPEI TOKYO,"14921 SHADY GROVE ROAD, UNIT D",ROCKVILLE,MD,20850,BBWLHR021,On Premise,"YUNG LONG, INC.","14921 SHADY GROVE ROAD, UNIT D
ROCKVILLE, MD 20850
(39.096703, -77.194789)"
KENTLANDS GOURMET,414 MAIN ST,GAITHERSBURG,MD,20878,ABW201,Off Premise,KENTLANDS GOURMET,"414 MAIN ST
GAITHERSBURG, MD 20878
(39.120979, -77.236519)"
ROCK BOTTOM BREWERY,7900 NORFOLK AVE,BETHESDA,MD,20814,BBWLHR238,On Premise,WALNUT BREWERY INC.,"7900 NORFOLK AVE
BETHESDA, MD 20814
(38.989094, -77.097551)"
MIDWAY BEER & WINE,16057 FREDERICK ROAD,DERWOOD,MD,20855,ABW279,Off Premise,SHIVA CORPORATION,"16057 FREDERICK ROAD
DERWOOD, MD 20855
(39.118865, -77.171444)"
CLASSIC BEER & WINE,891 ROCKVILLE PIKE,ROCKVILLE,MD,20852,ABWS256,Off Premise,"AREEHANT, LLC","891 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.07453, -77.135967)"
SUYAMASTER,2302-2304 PRICE AVENUE,WHEATON,MD,20902,BBWLHR20008,On Premise,"SUYAMASTER, LLC","2302-2304 PRICE AVENUE
WHEATON, MD 20902
(39.040305, -77.050369)"
PRALINE,"4611 SANGAMORE ROAD, UNIT O",BETHESDA,MD,20816,BBWLHR408,On Premise,"PRALINE BAKERY, LLC,","4611 SANGAMORE ROAD, UNIT O
BETHESDA, MD 20816
(38.94866, -77.119725)"
"POTOMAC BEER, WINE & DELI",9700 TRAVILLE GATEWAY DR.,ROCKVILLE,MD,20850,ABW055,Off Premise,"JINHYE, INC.","9700 TRAVILLE GATEWAY DR.
ROCKVILLE, MD 20850
(39.091179, -77.20449)"
J N K BEER & WINE,14344 LAYHILL ROAD,SILVER SPRING,MD,20906,ABW068,Off Premise,S.C. KEENER LLC.,"14344 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.091092, -77.044982)"
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE, UNIT A",ROCKVILLE,MD,20850,BBWLHR421,On Premise,"BIG RIVER BREWERIES, INC.","200 EAST MIDDLE LANE, UNIT A
ROCKVILLE, MD 20850
(39.085126, -77.150977)"
N-THE VILLAGE AT ROCKVILLE,9701 VEIRS DR,ROCKVILLE,MD,20850,CBWLRC26512,On Premise,"THE VILLAGE AT ROCKIVLLE, INC","9701 VEIRS DR
ROCKVILLE, MD 20850
(39.077226, -77.19424)"
"SEMINARY BEER, WINE & DELI",9458 GEORGIA AVE,SILVER SPRING,MD,20910,ABW043,Off Premise,"B.B.S.B.,INC.","9458 GEORGIA AVE
SILVER SPRING, MD 20910
(39.009892, -77.040687)"
GROVE BEER AND WINE,16825 CRABBS BRANCH WAY,DERWOOD,MD,20855,ABW199,Off Premise,AIMIE CORP.,"16825 CRABBS BRANCH WAY
DERWOOD, MD 20855
(39.130293, -77.168245)"
BURGERFI,8504 FENTON STREET,SILVER SPRING,MD,20910,HBW1071358,On Premise,"SILVER SPRING BURGER, LLC.","8504 FENTON STREET
SILVER SPRING, MD 20910
(38.995801, -77.024531)"
18/8 FINE MEN'S SALONS,7550 WISCONSIN AVE,BETHESDA,MD,20814,SBSBW23007,On Premise,"WISCONSIN, INC","7550 WISCONSIN AVE
BETHESDA, MD 20814
(38.985703, -77.094552)"
NANCY'S KITCHEN,3808 INTERNATIONAL DRIVE,SILVER SPRING,MD,20906,HBW065,On Premise,NANCY'S KITCHEN OF SILVER SPRI,"3808 INTERNATIONAL DRIVE
SILVER SPRING, MD 20906
(39.103528, -77.075426)"
